#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Re]"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Im]"
#--------------------------------------------------------------------------------------------------------------------------------------------
-11.987046390034	113.99404144287	253.87165832520
-11.952797686063	113.98741149902	253.50469970703
-11.918548982091	113.97749328613	253.12986755371
-11.884300278120	113.98377990723	252.72814941406
-11.850051574148	114.02028656006	252.27626037598
-11.815802870177	114.05680084229	251.82435607910
-11.781554166205	114.18453216553	251.29956054688
-11.747305462234	114.33128356934	250.75956726074
-11.713056758262	114.52760314941	250.19035339355
-11.678808054291	114.83634185791	249.55487060547
-11.644559350319	115.14509582520	248.91938781738
-11.610310646348	115.61187744141	248.20806884766
-11.576061942376	116.12211608887	247.47592163086
-11.541813238404	116.69193267822	246.71946716309
-11.507564534433	117.42878723145	245.89497375488
-11.473315830461	118.16564941406	245.07046508789
-11.439067126490	119.07998657227	244.18580627441
-11.404818422518	120.05625915527	243.28019714355
-11.370569718547	121.08514404297	242.36015319824
-11.336321014575	122.30097198486	241.38883972168
-11.302072310604	123.51676940918	240.41755676270
-11.267823606632	124.89163970947	239.41476440430
-11.233574902661	126.33524322510	238.39839172363
-11.199326198689	127.81549072266	237.37841796875
-11.165077494718	129.46675109863	236.34169006348
-11.130828790746	131.11796569824	235.30499267578
-11.096580086775	132.88641357422	234.27214050293
-11.062331382803	134.71665954590	233.24127197266
-11.028082678832	136.56616210938	232.21488952637
-10.993833974860	138.54104614258	231.21734619141
-10.959585270889	140.51588439941	230.21984863281
-10.925336566917	142.55496215820	229.25892639160
-10.891087862945	144.63485717773	228.32119750977
-10.856839158974	146.72036743164	227.39106750488
-10.822590455002	148.86285400391	226.53730773926
-10.788341751031	151.00540161133	225.68353271484
-10.754093047059	153.15757751465	224.88850402832
-10.719844343088	155.31707763672	224.13800048828
-10.685595639116	157.47528076172	223.39299011230
-10.651346935145	159.60557556152	222.75968933105
-10.617098231173	161.73591613770	222.12637329102
-10.582849527202	163.82641601562	221.55772399902
-10.548600823230	165.88099670410	221.04745483398
-10.514352119259	167.93515014648	220.53764343262
-10.480103415287	169.86940002441	220.14802551270
-10.445854711316	171.80363464355	219.75842285156
-10.411606007344	173.65972900391	219.42103576660
-10.377357303373	175.43188476562	219.13967895508
-10.343108599401	177.20408630371	218.85832214355
-10.308859895430	178.78602600098	218.65931701660
-10.274611191458	180.36019897461	218.46365356445
-10.240362487486	181.83514404297	218.29180908203
-10.206113783515	183.18331909180	218.15039062500
-10.171865079543	184.53149414062	218.00897216797
-10.137616375572	185.65423583984	217.88032531738
-10.103367671600	186.75672912598	217.75280761719
-10.069118967629	187.76602172852	217.61318969727
-10.034870263657	188.61653137207	217.45297241211
-10.000621559686	189.46704101562	217.29275512695
-9.9663728557143	190.11784362793	217.06336975098
-9.9321241517427	190.72549438477	216.81906127930
-9.8978754477712	191.27333068848	216.53782653809
-9.8636267437997	191.66323852539	216.15913391113
-9.8293780398282	192.05314636230	215.78045654297
-9.7951293358566	192.31449890137	215.26976013184
-9.7608806318851	192.52757263184	214.70945739746
-9.7266319279136	192.71884155273	214.10993957520
-9.6923832239421	192.81028747559	213.33081054688
-9.6581345199705	192.90171813965	212.55169677734
-9.6238858159990	192.95779418945	211.61663818359
-9.5896371120275	192.99327087402	210.59056091309
-9.5553884080559	193.03024291992	209.54301452637
-9.5211397040844	193.08378601074	208.26071166992
-9.4868910001129	193.13731384277	206.97834777832
-9.4526422961414	193.24073791504	205.56192016602
-9.4183935921698	193.38729858398	204.02941894531
-9.3841448881983	193.53387451172	202.49697875977
-9.3498961842268	193.84188842773	200.74290466309
-9.3156474802553	194.15177917480	198.98622131348
-9.2813987762837	194.56027221680	197.15002441406
-9.2471500723122	195.09384155273	195.21292114258
-9.2129013683407	195.62742614746	193.27577209473
-9.1786526643692	196.39927673340	191.23034667969
-9.1444039603976	197.19961547852	189.17196655273
-9.1101552564261	198.10000610352	187.09684753418
-9.0759065524546	199.18983459473	184.99014282227
-9.0416578484830	200.27970886230	182.88339233398
-9.0074091445115	201.59867858887	180.80131530762
-8.9731604405400	202.97573852539	178.72549438477
-8.9389117365685	204.41780090332	176.67768859863
-8.9046630325969	206.05467224121	174.71414184570
-8.8704143286254	207.69154357910	172.75059509277
-8.8361656246539	209.47438049316	170.92016601562
-8.8019169206824	211.31898498535	169.14620971680
-8.7676682167108	213.18460083008	167.41188049316
-8.7334195127393	215.16464233398	165.89436340332
-8.6991708087678	217.14469909668	164.37686157227
-8.6649221047963	219.15347290039	163.04571533203
-8.6306734008247	221.18077087402	161.83528137207
-8.5964246968532	223.20513916016	160.64495849609
-8.5621759928817	225.18310546875	159.77325439453
-8.5279272889101	227.16099548340	158.90158081055
-8.4936785849386	229.06419372559	158.20709228516
-8.4594298809671	230.89613342285	157.68173217773
-8.4251811769956	232.72801208496	157.15640258789
-8.3909324730240	234.33265686035	156.95089721680
-8.3566837690525	235.92875671387	156.75738525391
-8.3224350650810	237.39587402344	156.68601989746
-8.2881863611095	238.68208312988	156.78598022461
-8.2539376571379	239.96827697754	156.88594055176
-8.2196889531664	240.94010925293	157.19078063965
-8.1854402491949	241.86439514160	157.52664184570
-8.1511915452234	242.66374206543	157.91473388672
-8.1169428412518	243.19874572754	158.41343688965
-8.0826941372803	243.73374938965	158.91212463379
-8.0484454333088	243.96873474121	159.47126770020
-8.0141967293372	244.11572265625	160.04815673828
-7.9799480253657	244.18165588379	160.62265014648
-7.9456993213942	243.96920776367	161.18893432617
-7.9114506174227	243.75677490234	161.75521850586
-7.8772019134511	243.33720397949	162.25538635254
-7.8429532094796	242.81915283203	162.72413635254
-7.8087045055081	242.27093505859	163.16970825195
-7.7744558015366	241.52101135254	163.46037292480
-7.7402070975650	240.77105712891	163.75103759766
-7.7059583935935	239.93759155273	163.89857482910
-7.6717096896220	239.04423522949	163.94346618652
-7.6374609856505	238.14910888672	163.97727966309
-7.6032122816789	237.20796203613	163.72547912598
-7.5689635777074	236.26681518555	163.47366333008
-7.5347148737359	235.34925842285	163.05973815918
-7.5004661697643	234.45605468750	162.47859191895
-7.4662174657928	233.56283569336	161.89744567871
-7.4319687618213	232.79908752441	160.99293518066
-7.3977200578498	232.04255676270	160.07038879395
-7.3634713538782	231.37214660645	159.01435852051
-7.3292226499067	230.82975769043	157.75982666016
-7.2949739459352	230.28735351562	156.50529479980
-7.2607252419637	229.98072814941	154.99058532715
-7.2264765379921	229.71340942383	153.43251037598
-7.1922278340206	229.54501342773	151.79460144043
-7.1579791300491	229.59475708008	149.98072814941
-7.1237304260776	229.64450073242	148.16690063477
-7.0894817221060	229.95420837402	146.20445251465
-7.0552330181345	230.34291076660	144.19683837891
-7.0209843141630	230.80749511719	142.16284179688
-6.9867356101914	231.53811645508	140.03627014160
-6.9524869062199	232.26875305176	137.90966796875
-6.9182382022484	233.22016906738	135.75863647461
-6.8839894982769	234.27700805664	133.59591674805
-6.8497407943053	235.37266540527	131.43984985352
-6.8154920903338	236.72425842285	129.32743835449
-6.7812433863623	238.07583618164	127.21502685547
-6.7469946823908	239.57481384277	125.18241882324
-6.7127459784192	241.17761230469	123.20606231689
-6.6784972744477	242.78860473633	121.23870086670
-6.6442485704762	244.58808898926	119.47909545898
-6.6099998665047	246.38757324219	117.71949768066
-6.5757511625331	248.25401306152	116.10221862793
-6.5415024585616	250.18838500977	114.62919616699
-6.5072537545901	252.12275695801	113.15618133545
-6.4730050506185	254.12260437012	112.00816345215
-6.4387563466470	256.12576293945	110.87672424316
-6.4045076426755	258.12884521484	109.89871215820
-6.3702589387040	260.13177490234	109.14479827881
