#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"power (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Abs (X) [Magnitude / dB]"
#-------------------------------------------------------------------------------------
-19.761502191571	25.869031261947
-19.727253487599	25.866662383494
-19.693004783628	25.861221433584
-19.658756079656	25.851116848533
-19.624507375685	25.841189754160
-19.590258671713	25.824394443274
-19.556009967742	25.806761168679
-19.521761263770	25.786663996703
-19.487512559799	25.761476739424
-19.453263855827	25.736625902091
-19.419015151856	25.705766330021
-19.384766447884	25.673757658224
-19.350517743913	25.640099991020
-19.316269039941	25.601413111602
-19.282020335970	25.563186916750
-19.247771631998	25.520235969724
-19.213522928026	25.475974046757
-19.179274224055	25.430874223196
-19.145025520083	25.381281163681
-19.110776816112	25.332204481863
-19.076528112140	25.279835579848
-19.042279408169	25.226175605158
-19.008030704197	25.172307977918
-18.973782000226	25.114817627112
-18.939533296254	25.057793156956
-18.905284592283	24.998735539973
-18.871035888311	24.938527387991
-18.836787184340	24.878433436396
-18.802538480368	24.815704092150
-18.768289776397	24.753258200778
-18.734041072425	24.689689065850
-18.699792368454	24.625161496700
-18.665543664482	24.560738882204
-18.631294960511	24.494598519212
-18.597046256539	24.428443716721
-18.562797552567	24.361687981700
-18.528548848596	24.294185154986
-18.494300144624	24.226479925152
-18.460051440653	24.158011777075
-18.425802736681	24.089206640074
-18.391554032710	24.020080122835
-18.357305328738	23.950525497097
-18.323056624767	23.880584302878
-18.288807920795	23.810716821066
-18.254559216824	23.740294490841
-18.220310512852	23.670217888315
-18.186061808881	23.600021042195
-18.151813104909	23.529703845213
-18.117564400938	23.460487651548
-18.083315696966	23.390779126501
-18.049066992995	23.322796558072
-18.014818289023	23.255173564131
-17.980569585052	23.188361431089
-17.946320881080	23.123981113870
-17.912072177108	23.059543195297
-17.877823473137	22.998980100118
-17.843574769165	22.939369447017
-17.809326065194	22.882146612613
-17.775077361222	22.828702969869
-17.740828657251	22.775930202882
-17.706579953279	22.729544871359
-17.672331249308	22.684572077927
-17.638082545336	22.643774837427
-17.603833841365	22.607614311303
-17.569585137393	22.572994620550
-17.535336433422	22.546327667343
-17.501087729450	22.521247860401
-17.466839025479	22.501529751770
-17.432590321507	22.486315143970
-17.398341617536	22.473489787495
-17.364092913564	22.467850983321
-17.329844209593	22.463838496497
-17.295595505621	22.465120001889
-17.261346801649	22.469794350807
-17.227098097678	22.476879221300
-17.192849393706	22.489089487124
-17.158600689735	22.502476665789
-17.124351985763	22.519850964710
-17.090103281792	22.539093673742
-17.055854577820	22.560016072923
-17.021605873849	22.583626609534
-16.987357169877	22.607782349488
-16.953108465906	22.633972186000
-16.918859761934	22.660756722767
-16.884611057963	22.688176903196
-16.850362353991	22.716331816165
-16.816113650020	22.744554090702
-16.781864946048	22.773021370515
-16.747616242077	22.801452300165
-16.713367538105	22.829638481921
-16.679118834134	22.857525612302
-16.644870130162	22.885322927937
-16.610621426190	22.912155700535
-16.576372722219	22.938937452647
-16.542124018247	22.965046674454
-16.507875314276	22.990617271435
-16.473626610304	23.016206243138
-16.439377906333	23.040608835049
-16.405129202361	23.065271477136
-16.370880498390	23.089386519133
-16.336631794418	23.113323718703
-16.302383090447	23.137597294677
-16.268134386475	23.161184728238
-16.233885682504	23.185481777958
-16.199636978532	23.209712744639
-16.165388274561	23.234373189087
-16.131139570589	23.259803583586
-16.096890866618	23.285351597512
-16.062642162646	23.312039918758
-16.028393458675	23.339303887457
-15.994144754703	23.367574192841
-15.959896050731	23.397002448536
-15.925647346760	23.427276434809
-15.891398642788	23.458941875280
-15.857149938817	23.491678639617
