#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"power (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Abs (X) [Magnitude / dB]"
#--------------------------------------------------------------------------------------
-22.056165357663	38.590866610649
-22.021916653692	38.355131281203
-21.987667949720	38.124820577337
-21.953419245749	37.954219688691
-21.919170541777	37.783850894011
-21.884921837806	37.658813535052
-21.850673133834	37.560762843063
-21.816424429863	37.474457436125
-21.782175725891	37.447511498209
-21.747927021919	37.421104419301
-21.713678317948	37.438554638425
-21.679429613976	37.476676187818
-21.645180910005	37.525996340937
-21.610932206033	37.620843470183
-21.576683502062	37.715196698396
-21.542434798090	37.845888401171
-21.508186094119	37.988322821867
-21.473937390147	38.142213583632
-21.439688686176	38.323291540327
-21.405439982204	38.503643933116
-21.371191278233	38.708432905908
-21.336942574261	38.916405956804
-21.302693870290	39.130607871144
-21.268445166318	39.354249812431
-21.234196462347	39.575863181397
-21.199947758375	39.802626662779
-21.165699054404	40.027122895318
-21.131450350432	40.247438727942
-21.097201646460	40.463510040422
-21.062952942489	40.675833302251
-21.028704238517	40.873638838461
-20.994455534546	41.068572632752
-20.960206830574	41.248082194390
-20.925958126603	41.417181399243
-20.891709422631	41.579323785860
-20.857460718660	41.716749092826
-20.823212014688	41.852352183555
-20.788963310717	41.963112366430
-20.754714606745	42.063625964314
-20.720465902774	42.153352914626
-20.686217198802	42.216269864776
-20.651968494831	42.278742714203
-20.617719790859	42.309676119109
-20.583471086888	42.333974721272
-20.549222382916	42.343870581588
-20.514973678945	42.329915453066
-20.480724974973	42.316528787480
-20.446476271001	42.268098388681
-20.412227567030	42.217683937629
-20.377978863058	42.150351796530
-20.343730159087	42.064549792683
-20.309481455115	41.978707958117
-20.275232751144	41.859652013326
-20.240984047172	41.741565248373
-20.206735343201	41.605585970449
-20.172486639229	41.456753878114
-20.138237935258	41.307334327756
-20.103989231286	41.131277291149
-20.069740527315	40.955591946697
-20.035491823343	40.768040615157
-20.001243119372	40.568820674539
-19.966994415400	40.369539919848
-19.932745711429	40.152527294419
-19.898497007457	39.934243694392
-19.864248303485	39.710733504024
-19.829999599514	39.480131516001
-19.795750895542	39.247571594144
-19.761502191571	39.012675087031
-19.727253487599	38.774590241230
-19.693004783628	38.537756431013
-19.658756079656	38.303592537021
-19.624507375685	38.065244677063
-19.590258671713	37.842391147437
-19.556009967742	37.617851259009
-19.521761263770	37.400267260867
-19.487512559799	37.201556677653
-19.453263855827	36.998314468675
-19.419015151856	36.828748600398
-19.384766447884	36.665466119474
-19.350517743913	36.515019074808
-19.316269039941	36.405346882755
-19.282020335970	36.295753513413
-19.247771631998	36.235198232343
-19.213522928026	36.194564011597
-19.179274224055	36.171830412185
-19.145025520083	36.207477828058
-19.110776816112	36.248644606434
-19.076528112140	36.339774527381
-19.042279408169	36.456974379091
-19.008030704197	36.587554232965
-18.973782000226	36.770377086718
-18.939533296254	36.955200019654
-18.905284592283	37.169475700931
-18.871035888311	37.399846859154
-18.836787184340	37.631093269180
-18.802538480368	37.888037042370
-18.768289776397	38.140099458892
-18.734041072425	38.397216176795
-18.699792368454	38.656042918612
-18.665543664482	38.908659376424
-18.631294960511	39.159778559145
-18.597046256539	39.404267912522
-18.562797552567	39.639284877673
-18.528548848596	39.865130072641
-18.494300144624	40.084693231563
-18.460051440653	40.283714430553
-18.425802736681	40.478267379336
-18.391554032710	40.654484893385
-18.357305328738	40.817380341381
-18.323056624767	40.973359932246
-18.288807920795	41.100155935687
-18.254559216824	41.225247017426
-18.220310512852	41.324899644167
-18.186061808881	41.412110808074
-18.151813104909	41.490356539242
-18.117564400938	41.538279329077
-18.083315696966	41.586188023736
-18.049066992995	41.604483678561
-18.014818289023	41.613682213941
-17.980569585052	41.611717180055
-17.946320881080	41.583831815623
-17.912072177108	41.556153432073
-17.877823473137	41.499572656827
-17.843574769165	41.437669019956
-17.809326065194	41.364169790425
-17.775077361222	41.272413965703
-17.740828657251	41.179970529217
-17.706579953279	41.065313340313
-17.672331249308	40.947917367786
-17.638082545336	40.821725030648
-17.603833841365	40.685721159138
-17.569585137393	40.547614754395
-17.535336433422	40.399854802827
-17.501087729450	40.249755504128
-17.466839025479	40.097274747075
-17.432590321507	39.942275946345
-17.398341617536	39.785487626602
-17.364092913564	39.632773803904
-17.329844209593	39.477449436187
-17.295595505621	39.328943147087
-17.261346801649	39.182997575138
-17.227098097678	39.038724088642
-17.192849393706	38.908537226151
-17.158600689735	38.776419092878
-17.124351985763	38.661105106731
-17.090103281792	38.550778639137
-17.055854577820	38.447285914080
-17.021605873849	38.363003380981
-16.987357169877	38.277908305472
-16.953108465906	38.217403262321
-16.918859761934	38.161602815571
-16.884611057963	38.117074544412
-16.850362353991	38.091586414378
-16.816113650020	38.066024640490
-16.781864946048	38.067947781152
-16.747616242077	38.072223018998
-16.713367538105	38.089403871200
-16.679118834134	38.121328623662
-16.644870130162	38.153138289052
-16.610621426190	38.209141636654
-16.576372722219	38.265002850034
-16.542124018247	38.331215473423
-16.507875314276	38.406853690041
-16.473626610304	38.482541572791
-16.439377906333	38.573096177640
-16.405129202361	38.662736031048
-16.370880498390	38.757984101768
-16.336631794418	38.857109400292
-16.302383090447	38.955737794717
-16.268134386475	39.059002106941
-16.233885682504	39.161082267768
-16.199636978532	39.262644528609
-16.165388274561	39.363446987631
-16.131139570589	39.462480046883
-16.096890866618	39.556744860875
-16.062642162646	39.650006759772
-16.028393458675	39.735932329421
-15.994144754703	39.817928982225
-15.959896050731	39.896375242184
-15.925647346760	39.962868996531
-15.891398642788	40.028861748529
-15.857149938817	40.081590819634
-15.822901234845	40.129151979543
-15.788652530874	40.171528023267
-15.754403826902	40.198845088990
-15.720155122931	40.226148869961
-15.685906418959	40.237696313080
-15.651657714988	40.244774858587
-15.617409011016	40.246303845954
-15.583160307045	40.234746776747
-15.548911603073	40.223395691948
-15.514662899102	40.199248567918
-15.480414195130	40.172562192844
-15.446165491159	40.142192402387
-15.411916787187	40.104815155839
-15.377668083215	40.067595074749
-15.343419379244	40.025712606784
-15.309170675272	39.983241109952
-15.274921971301	39.940998870219
-15.240673267329	39.898997386389
-15.206424563358	39.857004590383
-15.172175859386	39.820324120585
-15.137927155415	39.784007647057
-15.103678451443	39.752201861935
-15.069429747472	39.725808228364
-15.035181043500	39.699357137910
-15.000932339529	39.685434026204
-14.966683635557	39.671745667146
-14.932434931586	39.665093994305
-14.898186227614	39.665374676926
-14.863937523643	39.666147379816
-14.829688819671	39.679967263096
-14.795440115700	39.693960045832
-14.761191411728	39.714498355380
-14.726942707756	39.740337475006
-14.692694003785	39.767124422344
-14.658445299813	39.801803991779
-14.624196595842	39.836783203213
-14.589947891870	39.874343521833
-14.555699187899	39.914307556082
-14.521450483927	39.954554720374
-14.487201779956	39.995300286079
-14.452953075984	40.036290743411
-14.418704372013	40.076041566414
-14.384455668041	40.113712617125
-14.350206964070	40.151542057440
-14.315958260098	40.183664764865
-14.281709556127	40.214686734630
-14.247460852155	40.243277820113
-14.213212148184	40.264992510925
-14.178963444212	40.286751778515
-14.144714740241	40.300938814996
-14.110466036269	40.311929980810
-14.076217332297	40.321385443862
-14.041968628326	40.321310692080
-14.007719924354	40.321236774441
-13.973471220383	40.315225742671
-13.939222516411	40.304852385622
-13.904973812440	40.294364586040
-13.870725108468	40.275405903500
-13.836476404497	40.256453777601
-13.802227700525	40.234743462191
-13.767978996554	40.209671169286
-13.733730292582	40.184625246190
-13.699481588611	40.156752649205
-13.665232884639	40.128566544359
-13.630984180668	40.100400532159
-13.596735476696	40.072234848728
-13.562486772725	40.044157680167
-13.528238068753	40.018360220049
-13.493989364782	39.993367320381
-13.459740660810	39.969563938674
-13.425491956838	39.950260536401
