#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"Y / mm"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Re]"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Im]"
#--------------------------------------------------------------------------------------------------------------------------------------------
-18.014818289023	-252.51144409180	141.79592895508
-17.980569585052	-251.54035949707	144.96989440918
-17.946320881080	-250.18132019043	148.23352050781
-17.912072177108	-248.82220458984	151.49732971191
-17.877823473137	-246.99377441406	154.83732604980
-17.843574769165	-245.08145141602	158.19097900391
-17.809326065194	-242.96148681641	161.56332397461
-17.775077361222	-240.52005004883	164.96466064453
-17.740828657251	-238.07859802246	168.36598205566
-17.706579953279	-235.18261718750	171.77062988281
-17.672331249308	-232.25595092773	175.17530822754
-17.638082545336	-229.12577819824	178.55982971191
-17.603833841365	-225.77561950684	181.92256164551
-17.569585137393	-222.41694641113	185.28314208984
-17.535336433422	-218.71966552734	188.55894470215
-17.501087729450	-215.02258300781	191.83456420898
-17.466839025479	-211.17892456055	195.03573608398
-17.432590321507	-207.22407531738	198.18045043945
-17.398341617536	-203.25117492676	201.30575561523
-17.364092913564	-199.13627624512	204.27812194824
-17.329844209593	-195.02113342285	207.25065612793
-17.295595505621	-190.86817932129	210.08494567871
-17.261346801649	-186.69535827637	212.84710693359
-17.227098097678	-182.53143310547	215.56033325195
-17.192849393706	-178.40290832520	218.07894897461
-17.158600689735	-174.27413940430	220.59771728516
-17.124351985763	-170.25177001953	222.91426086426
-17.090103281792	-166.26576232910	225.16163635254
-17.055854577820	-162.34684753418	227.32453918457
-17.021605873849	-158.59303283691	229.27969360352
-16.987357169877	-154.83920288086	231.23483276367
