#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Re]"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Im]"
#------------------------------------------------------------------------------------------------------------------------------------------
-20.480724974973	-90.164581298828	69.965087890625
-20.446476271001	-90.315711975098	70.128181457520
-20.412227567030	-90.474815368652	70.281944274902
-20.377978863058	-90.680610656738	70.384063720703
-20.343730159087	-90.937332153320	70.429862976074
-20.309481455115	-91.196617126465	70.472969055176
-20.275232751144	-91.537002563477	70.430061340332
-20.240984047172	-91.877388000488	70.387161254883
-20.206735343201	-92.256668090820	70.303627014160
-20.172486639229	-92.663841247559	70.190963745117
-20.138237935258	-93.073402404785	70.075706481934
-20.103989231286	-93.526573181152	69.912773132324
-20.069740527315	-93.979743957520	69.749839782715
-20.035491823343	-94.444000244141	69.571273803711
-20.001243119372	-94.918472290039	69.378326416016
-19.966994415400	-95.392936706543	69.185371398926
-19.932745711429	-95.862167358398	68.982566833496
-19.898497007457	-96.331314086914	68.779663085938
-19.864248303485	-96.785614013672	68.580207824707
-19.829999599514	-97.222396850586	68.384819030762
-19.795750895542	-97.659179687500	68.189422607422
-19.761502191571	-98.039825439453	68.016754150391
-19.727253487599	-98.416091918945	67.845855712891
-19.693004783628	-98.757949829102	67.690330505371
-19.658756079656	-99.047569274902	67.558128356934
-19.624507375685	-99.337188720703	67.425933837891
-19.590258671713	-99.529449462891	67.338119506836
-19.556009967742	-99.706680297852	67.257156372070
-19.521761263770	-99.838844299316	67.196716308594
-19.487512559799	-99.881706237793	67.176956176758
-19.453263855827	-99.924568176270	67.157196044922
-19.419015151856	-99.843750000000	67.192825317383
-19.384766447884	-99.732872009277	67.241920471191
-19.350517743913	-99.575790405273	67.311279296875
-19.316269039941	-99.296058654785	67.434432983398
-19.282020335970	-99.016334533691	67.557579040527
-19.247771631998	-98.603286743164	67.737419128418
-19.213522928026	-98.144058227539	67.936897277832
-19.179274224055	-97.645668029785	68.152610778809
-19.145025520083	-97.001724243164	68.428634643555
-19.110776816112	-96.357772827148	68.704658508301
-19.076528112140	-95.587791442871	69.031501770020
-19.042279408169	-94.758773803711	69.382156372070
-19.008030704197	-93.902770996094	69.743347167969
-18.973782000226	-92.894302368164	70.164100646973
-18.939533296254	-91.885833740234	70.584854125977
-18.905284592283	-90.772537231445	71.044807434082
-18.871035888311	-89.594772338867	71.528869628906
-18.836787184340	-88.403419494629	72.017852783203
-18.802538480368	-87.072608947754	72.557327270508
-18.768289776397	-85.741798400879	73.096809387207
-18.734041072425	-84.337150573730	73.661567687988
-18.699792368454	-82.873886108398	74.246383666992
-18.665543664482	-81.407752990723	74.832122802734
-18.631294960511	-79.836517333984	75.451408386230
-18.597046256539	-78.265365600586	76.070655822754
-18.562797552567	-76.655334472656	76.700668334961
-18.528548848596	-75.005752563477	77.341629028320
-18.494300144624	-73.354278564453	77.982978820801
-18.460051440653	-71.656867980957	78.633789062500
-18.425802736681	-69.959556579590	79.284561157227
-18.391554032710	-68.252426147461	79.933853149414
-18.357305328738	-66.538307189941	80.582099914551
-18.323056624767	-64.826118469238	81.228439331055
-18.288807920795	-63.127170562744	81.861793518066
-18.254559216824	-61.428127288818	82.495185852051
-18.220310512852	-59.760459899902	83.110824584961
-18.186061808881	-58.108055114746	83.717826843262
-18.151813104909	-56.472545623779	84.316612243652
-18.117564400938	-54.898323059082	84.885581970215
-18.083315696966	-53.324012756348	85.454589843750
-18.049066992995	-51.831600189209	85.987022399902
-18.014818289023	-50.364994049072	86.507926940918
-17.980569585052	-48.939281463623	87.011550903320
-17.946320881080	-47.607074737549	87.475639343262
-17.912072177108	-46.274795532227	87.939750671387
-17.877823473137	-45.077037811279	88.348793029785
-17.843574769165	-43.903316497803	88.747985839844
-17.809326065194	-42.799709320068	89.119293212891
-17.775077361222	-41.804664611816	89.447418212891
-17.740828657251	-40.809619903564	89.775535583496
-17.706579953279	-39.996330261230	90.033981323242
-17.672331249308	-39.195423126221	90.287689208984
-17.638082545336	-38.493560791016	90.504135131836
-17.603833841365	-37.898761749268	90.680320739746
-17.569585137393	-37.309146881104	90.854606628418
-17.535336433422	-36.925552368164	90.953636169434
-17.501087729450	-36.541980743408	91.052658081055
-17.466839025479	-36.279529571533	91.108764648438
-17.432590321507	-36.108955383301	91.132316589355
-17.398341617536	-35.961891174316	91.147819519043
-17.364092913564	-35.999931335449	91.099884033203
-17.329844209593	-36.037971496582	91.051940917969
-17.295595505621	-36.207115173340	90.960800170898
-17.261346801649	-36.444755554199	90.847084045410
-17.227098097678	-36.719661712646	90.721771240234
-17.192849393706	-37.142822265625	90.550338745117
-17.158600689735	-37.566001892090	90.378898620605
-17.124351985763	-38.113822937012	90.171546936035
-17.090103281792	-38.704319000244	89.951896667480
-17.055854577820	-39.336769104004	89.721412658691
-17.021605873849	-40.072422027588	89.464271545410
-16.987357169877	-40.808071136475	89.207130432129
-16.953108465906	-41.643383026123	88.928932189941
-16.918859761934	-42.498600006104	88.646522521973
-16.884611057963	-43.387943267822	88.359489440918
-16.850362353991	-44.333633422852	88.064819335938
-16.816113650020	-45.279323577881	87.770149230957
-16.781864946048	-46.280879974365	87.477226257324
-16.747616242077	-47.287155151367	87.184471130371
-16.713367538105	-48.306770324707	86.898750305176
-16.679118834134	-49.341712951660	86.621116638184
-16.644870130162	-50.376655578613	86.343475341797
-16.610621426190	-51.407337188721	86.095413208008
-16.576372722219	-52.437923431396	85.847625732422
-16.542124018247	-53.449100494385	85.621757507324
-16.507875314276	-54.442131042480	85.416381835938
-16.473626610304	-55.432212829590	85.213378906250
-16.439377906333	-56.355911254883	85.063888549805
-16.405129202361	-57.279663085938	84.914390563965
-16.370880498390	-58.146682739258	84.802841186523
-16.336631794418	-58.970653533936	84.720100402832
-16.302383090447	-59.782573699951	84.644592285156
-16.268134386475	-60.478466033936	84.638717651367
-16.233885682504	-61.174396514893	84.632843017578
-16.199636978532	-61.775146484375	84.679374694824
-16.165388274561	-62.317539215088	84.758049011230
-16.131139570589	-62.834419250488	84.849929809570
-16.096890866618	-63.201538085938	85.019309997559
-16.062642162646	-63.568656921387	85.188690185547
-16.028393458675	-63.806060791016	85.421279907227
-15.994144754703	-63.979923248291	85.684814453125
-15.959896050731	-64.112960815430	85.967155456543
-15.925647346760	-64.079666137695	86.326103210449
-15.891398642788	-64.046371459961	86.685066223145
-15.857149938817	-63.856857299805	87.112083435059
-15.822901234845	-63.607425689697	87.565216064453
-15.788652530874	-63.303096771240	88.040824890137
-15.754403826902	-62.832763671875	88.584419250488
-15.720155122931	-62.362419128418	89.128036499023
-15.685906418959	-61.721538543701	89.736778259277
-15.651657714988	-61.030944824219	90.364501953125
-15.617409011016	-60.275775909424	91.014961242676
-15.583160307045	-59.370014190674	91.718368530273
-15.548911603073	-58.464252471924	92.421768188477
-15.514662899102	-57.389038085938	93.179039001465
-15.480414195130	-56.278102874756	93.947647094727
-15.446165491159	-55.100078582764	94.734825134277
-15.411916787187	-53.798397064209	95.556205749512
-15.377668083215	-52.496719360352	96.377586364746
-15.343419379244	-51.043811798096	97.232780456543
-15.309170675272	-49.569789886475	98.092674255371
-15.274921971301	-48.035549163818	98.961875915527
-15.240673267329	-46.412052154541	99.844902038574
-15.206424563358	-44.788604736328	100.72789764404
-15.172175859386	-43.050117492676	101.61728668213
-15.137927155415	-41.302860260010	102.50714111328
-15.103678451443	-39.512332916260	103.39256286621
-15.069429747472	-37.669822692871	104.27269744873
-15.035181043500	-35.827365875244	105.15280914307
-15.000932339529	-33.922241210938	106.00653839111
-14.966683635557	-32.015808105469	106.85975646973
-14.932434931586	-30.093305587769	107.69088745117
-14.898186227614	-28.155067443848	108.50046539307
-14.863937523643	-26.216840744019	109.30818176270
-14.829688819671	-24.280651092529	110.05847930908
-14.795440115700	-22.344408035278	110.80879974365
-14.761191411728	-20.427986145020	111.51761627197
-14.726942707756	-18.527254104614	112.19349670410
-14.692694003785	-16.632255554199	112.86198425293
-14.658445299813	-14.801062583923	113.44878387451
-14.624196595842	-12.969869613647	114.03559112549
-14.589947891870	-11.193235397339	114.56855773926
-14.555699187899	-9.4670801162720	115.05177307129
-14.521450483927	-7.7408766746521	115.53500366211
-14.487201779956	-6.1453571319580	115.90991210938
-14.452953075984	-4.5557665824890	116.27989196777
-14.418704372013	-3.0311415195465	116.60231018066
-14.384455668041	-1.6068587303162	116.85130310059
-14.350206964070	-0.18257597088814	117.10030364990
-14.315958260098	1.0841674804688	117.24504089355
-14.281709556127	2.3185837268829	117.36840820312
-14.247460852155	3.4969592094421	117.45784759521
-14.213212148184	4.5211739540100	117.45394897461
-14.178963444212	5.5453605651855	117.45005035400
-14.144714740241	6.4113922119141	117.35759735107
-14.110466036269	7.2106552124023	117.22778320312
-14.076217332297	7.9770584106445	117.08100128174
-14.041968628326	8.5415010452271	116.82988739014
-14.007719924354	9.1059274673462	116.57878112793
-13.973471220383	9.5330305099487	116.26183319092
-13.939222516411	9.8593072891235	115.89651489258
-13.904973812440	10.182444572449	115.52984619141
-13.870725108468	10.272579193115	115.06122589111
-13.836476404497	10.362711906433	114.59262084961
-13.802227700525	10.350708961487	114.08314514160
-13.767978996554	10.213836669922	113.52369689941
-13.733730292582	10.076968193054	112.96425628662
-13.699481588611	9.7513790130615	112.33838653564
-13.665232884639	9.4016437530518	111.70399475098
-13.630984180668	8.9895858764648	111.05097961426
-13.596735476696	8.4470357894897	110.35890197754
-13.562486772725	7.9045019149780	109.66684722900
-13.528238068753	7.2348566055298	108.94548034668
-13.493989364782	6.5250377655029	108.21482849121
-13.459740660810	5.7881689071655	107.48062896729
-13.425491956838	4.9406890869141	106.73182678223
-13.391243252867	4.0931859016418	105.98300933838
-13.356994548895	3.1799569129944	105.23602294922
-13.322745844924	2.2286567687988	104.49007415771
-13.288497140952	1.2726275920868	103.74577331543
-13.254248436981	0.25412535667419	103.02366638184
-13.219999733009	-0.76440531015396	102.30154418945
-13.185751029038	-1.7977497577667	101.60229492188
-13.151502325066	-2.8455462455750	100.92530822754
-13.117253621095	-3.8933720588684	100.24829864502
-13.083004917123	-4.9312453269958	99.632560729980
-13.048756213152	-5.9685220718384	99.020515441895
