#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"Y / mm"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Re]"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Im]"
#------------------------------------------------------------------------------------------------------------------------------------------
-11.404818422518	24.220327377319	110.72248077393
-11.370569718547	24.861854553223	110.79520416260
-11.336321014575	25.473075866699	110.85199737549
-11.302072310604	26.084281921387	110.90879821777
-11.267823606632	26.663564682007	110.94777679443
-11.233574902661	27.229019165039	110.97904968262
-11.199326198689	27.785427093506	111.00496673584
-11.165077494718	28.299654006958	111.00587463379
-11.130828790746	28.813865661621	111.00677490234
-11.096580086775	29.292066574097	110.98512268066
-11.062331382803	29.751308441162	110.95159149170
-11.028082678832	30.202966690063	110.91305541992
-10.993833974860	30.605428695679	110.84199523926
-10.959585270889	31.007879257202	110.77094268799
-10.925336566917	31.375656127930	110.67555999756
-10.891087862945	31.721443176270	110.56472778320
-10.856839158974	32.062286376953	110.45021820068
-10.822590455002	32.353378295898	110.29853820801
-10.788341751031	32.644477844238	110.14685058594
-10.754093047059	32.906471252441	109.97201538086
-10.719844343088	33.146396636963	109.77963256836
-10.685595639116	33.384159088135	109.58539581299
-10.651346935145	33.578121185303	109.35389709473
-10.617098231173	33.772087097168	109.12239837646
-10.582849527202	33.945407867432	108.87181091309
-10.548600823230	34.100093841553	108.60398864746
-10.514352119259	34.254657745361	108.33602905273
-10.480103415287	34.377693176270	108.03582763672
-10.445854711316	34.500728607178	107.73562622070
-10.411606007344	34.612525939941	107.42245483398
-10.377357303373	34.712268829346	107.09540557861
-10.343108599401	34.812011718750	106.76834106445
-10.308859895430	34.897953033447	106.42154693604
-10.274611191458	34.983329772949	106.07394409180
-10.240362487486	35.066257476807	105.72038269043
-10.206113783515	35.146045684814	105.35923004150
-10.171865079543	35.225837707520	104.99808502197
-10.137616375572	35.308574676514	104.63189697266
-10.103367671600	35.391574859619	104.26526641846
-10.069118967629	35.478813171387	103.89966583252
-10.034870263657	35.573257446289	103.53584289551
-10.000621559686	35.667697906494	103.17201995850
-9.9663728557143	35.777423858643	102.81742095947
-9.9321241517427	35.890445709229	102.46482849121
-9.8978754477712	36.010250091553	102.11765289307
-9.8636267437997	36.147975921631	101.78477478027
-9.8293780398282	36.285694122314	101.45189666748
-9.7951293358566	36.444877624512	101.13896179199
-9.7608806318851	36.612125396729	100.83350372314
-9.7266319279136	36.785224914551	100.53421020508
-9.6923832239421	36.985149383545	100.26307678223
-9.6581345199705	37.185062408447	99.991943359375
-9.6238858159990	37.406551361084	99.746284484863
-9.5896371120275	37.640625000000	99.515472412109
-9.5553884080560	37.877544403076	99.288436889648
-9.5211397040844	38.145557403564	99.102539062500
-9.4868910001129	38.413581848145	98.916633605957
-9.4526422961414	38.698745727539	98.756431579590
-9.4183935921698	38.998752593994	98.618453979492
-9.3841448881983	39.298748016357	98.480468750000
-9.3498961842268	39.627143859863	98.391250610352
-9.3156474802553	39.955879211426	98.302589416504
-9.2813987762837	40.295303344727	98.235580444336
-9.2471500723122	40.648300170898	98.196006774902
-9.2129013683407	41.001308441162	98.156440734863
-9.1786526643692	41.370712280273	98.158851623535
-9.1444039603976	41.742076873779	98.166282653809
-9.1101552564261	42.117572784424	98.188690185547
-9.0759065524546	42.500873565674	98.239456176758
-9.0416578484831	42.884181976318	98.290222167969
-9.0074091445115	43.271503448486	98.371383666992
-8.9731604405400	43.659843444824	98.460243225098
-8.9389117365685	44.047599792480	98.556953430176
-8.9046630325969	44.433567047119	98.677215576172
-8.8704143286254	44.819534301758	98.797485351562
-8.8361656246539	45.198917388916	98.934394836426
-8.8019169206824	45.575500488281	99.078346252441
-8.7676682167108	45.949607849121	99.224624633789
-8.7334195127393	46.310150146484	99.383552551270
-8.6991708087678	46.670692443848	99.542488098145
-8.6649221047963	47.017990112305	99.705001831055
-8.6306734008247	47.356697082520	99.869834899902
-8.5964246968532	47.693828582764	100.03446960449
-8.5621759928817	48.005958557129	100.19602203369
-8.5279272889102	48.318084716797	100.35756683350
-8.4936785849386	48.614601135254	100.51266479492
-8.4594298809671	48.896228790283	100.66162109375
-8.4251811769956	49.177848815918	100.81056976318
-8.3909324730240	49.427753448486	100.93904876709
-8.3566837690525	49.676467895508	101.06675720215
-8.3224350650810	49.911220550537	101.18242645264
-8.2881863611095	50.126407623291	101.28120422363
-8.2539376571379	50.341587066650	101.37998199463
-8.2196889531664	50.528236389160	101.44774627686
-8.1854402491949	50.710578918457	101.51081085205
-8.1511915452234	50.882953643799	101.56070709229
-8.1169428412518	51.034255981445	101.58271789551
-8.0826941372803	51.185554504395	101.60472869873
-8.0484454333088	51.315437316895	101.59221649170
-8.0141967293373	51.439037322998	101.56957244873
-7.9799480253657	51.557441711426	101.53639984131
-7.9456993213942	51.658016204834	101.46701812744
-7.9114506174227	51.758590698242	101.39763641357
-7.8772019134511	51.847293853760	101.29624938965
-7.8429532094796	51.930355072021	101.17965698242
-7.8087045055081	52.011920928955	101.05708312988
-7.7744558015366	52.083503723145	100.89454650879
-7.7402070975650	52.155090332031	100.73200988770
-7.7059583935935	52.223861694336	100.54459381104
-7.6717096896220	52.290618896484	100.33934020996
-7.6374609856505	52.357452392578	100.13265991211
-7.6032122816789	52.426319122314	99.889251708984
-7.5689635777074	52.495182037354	99.645851135254
-7.5347148737359	52.568260192871	99.386466979980
-7.5004661697644	52.645675659180	99.110595703125
-7.4662174657928	52.723094940186	98.834724426270
-7.4319687618213	52.814399719238	98.534698486328
-7.3977200578498	52.906482696533	98.233329772949
-7.3634713538782	53.006744384766	97.924751281738
-7.3292226499067	53.119163513184	97.605445861816
-7.2949739459352	53.231586456299	97.286132812500
-7.2607252419637	53.365234375000	96.958374023438
-7.2264765379921	53.502418518066	96.629203796387
-7.1922278340206	53.648368835449	96.299484252930
-7.1579791300491	53.813636779785	95.968544006348
-7.1237304260776	53.978900909424	95.637619018555
-7.0894817221060	54.167400360107	95.311317443848
-7.0552330181345	54.362957000732	94.986427307129
-7.0209843141630	54.565349578857	94.664535522461
-6.9867356101914	54.791706085205	94.353157043457
-6.9524869062199	55.018066406250	94.041778564453
-6.9182382022484	55.264869689941	93.743980407715
-6.8839894982769	55.521430969238	93.452674865723
-6.8497407943053	55.781715393066	93.164749145508
-6.8154920903338	56.066562652588	92.899055480957
-6.7812433863623	56.351409912109	92.633361816406
-6.7469946823908	56.650917053223	92.385253906250
-6.7127459784192	56.960742950439	92.149536132812
-6.6784972744477	57.271434783936	91.915176391602
-6.6442485704762	57.601898193359	91.712211608887
-6.6099998665047	57.932357788086	91.509246826172
-6.5757511625331	58.270317077637	91.323341369629
-6.5415024585616	58.615890502930	91.154724121094
-6.5072537545901	58.961460113525	90.986114501953
-6.4730050506185	59.315593719482	90.850357055664
